Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	671	671
OG0000001	297	297
OG0000002	266	266
OG0000003	205	204
OG0000004	227	227
OG0000005	222	222
OG0000006	221	221
OG0000007	175	175
OG0000008	172	172
OG0000009	158	158
OG0000010	155	155
OG0000011	154	154
OG0000012	153	153
OG0000013	152	152
OG0000014	144	144
OG0000015	131	131
OG0000016	128	128
OG0000017	125	125
OG0000018	120	120
OG0000019	122	122
OG0000020	122	122
OG0000021	112	112
OG0000022	115	115
OG0000023	99	99
OG0000024	116	116
OG0000025	109	109
OG0000026	114	114
OG0000027	113	113
OG0000028	112	112
OG0000029	110	110
OG0000030	102	102
OG0000031	89	89
OG0000032	85	83
OG0000033	77	70
OG0000034	93	93
OG0000035	89	89
OG0000036	78	68
OG0000037	88	88
OG0000038	89	89
OG0000039	88	88
OG0000040	87	87
OG0000041	82	82
OG0000042	69	66
OG0000043	87	87
OG0000044	80	80
OG0000045	83	83
OG0000046	82	82
OG0000047	79	79
OG0000048	80	80
OG0000049	79	79
OG0000050	78	78
OG0000051	77	77
OG0000052	75	75
OG0000053	76	76
OG0000054	75	75
OG0000055	74	74
OG0000056	71	71
OG0000057	70	70
OG0000058	68	68
OG0000059	69	69
OG0000060	70	70
OG0000061	69	69
OG0000062	67	67
OG0000063	68	68
OG0000064	65	65
OG0000065	54	54
OG0000066	65	65
OG0000067	64	64
OG0000068	63	63
OG0000069	62	62
OG0000070	59	59
OG0000071	57	57
OG0000072	61	61
OG0000073	61	61
OG0000074	60	60
OG0000075	59	59
OG0000076	57	57
OG0000077	59	59
OG0000078	59	59
OG0000079	57	57
OG0000080	51	51
OG0000081	58	58
OG0000082	57	57
OG0000083	53	52
OG0000084	53	53
OG0000085	57	57
OG0000086	57	57
OG0000087	54	54
OG0000088	55	55
OG0000089	56	56
OG0000090	56	56
OG0000091	55	55
OG0000092	53	53
OG0000093	53	53
OG0000094	54	54
OG0000095	50	50
OG0000096	44	44
OG0000097	53	53
OG0000098	53	53
OG0000099	47	47
OG0000100	51	51
OG0000101	52	52
OG0000102	52	52
OG0000103	51	51
OG0000104	44	44
OG0000105	47	47
OG0000106	50	50
OG0000107	50	50
OG0000108	41	41
OG0000109	40	40
OG0000110	47	47
OG0000111	49	49
OG0000112	49	49
OG0000113	40	40
OG0000114	47	47
OG0000115	45	45
OG0000116	48	48
OG0000117	48	48
OG0000118	45	45
OG0000119	47	47
OG0000120	47	47
OG0000121	47	47
OG0000122	45	44
OG0000123	46	46
OG0000124	45	45
OG0000125	46	46
OG0000126	46	46
OG0000127	46	46
OG0000128	44	44
OG0000129	41	41
OG0000130	42	42
OG0000131	45	45
OG0000132	45	45
OG0000133	45	45
OG0000134	44	44
OG0000135	44	44
OG0000136	44	44
OG0000137	30	30
OG0000138	43	43
OG0000139	44	44
OG0000140	44	44
OG0000141	43	43
OG0000142	44	44
OG0000143	44	44
OG0000144	44	44
OG0000145	44	44
OG0000146	41	41
OG0000147	40	40
OG0000148	43	43
OG0000149	43	43
OG0000150	43	43
OG0000151	43	43
OG0000152	43	43
OG0000153	40	40
OG0000154	41	41
OG0000155	41	41
OG0000156	35	35
OG0000157	42	42
OG0000158	42	42
OG0000159	41	41
OG0000160	36	36
OG0000161	41	41
OG0000162	41	41
OG0000163	41	41
OG0000164	36	36
OG0000165	40	40
OG0000166	40	40
OG0000167	40	40
OG0000168	34	33
OG0000169	38	38
OG0000170	38	38
OG0000171	39	39
OG0000172	38	38
OG0000173	33	33
OG0000174	36	36
OG0000175	29	28
OG0000176	39	39
OG0000177	39	39
OG0000178	35	35
OG0000179	38	38
OG0000180	36	36
OG0000181	31	31
OG0000182	38	38
OG0000183	34	34
OG0000184	34	34
OG0000185	30	27
OG0000186	38	38
OG0000187	38	38
OG0000188	38	38
OG0000189	38	38
OG0000190	38	38
OG0000191	32	32
OG0000192	37	37
OG0000193	36	36
OG0000194	31	31
OG0000195	35	35
OG0000196	37	37
OG0000197	37	37
