Orthogroup	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa	Total
OG0000000	589	33	0	58	680
OG0000001	1	298	0	0	299
OG0000002	250	1	0	25	276
OG0000003	166	12	5	48	231
OG0000004	0	228	0	0	228
OG0000005	0	223	0	0	223
OG0000006	0	222	0	0	222
OG0000007	0	176	0	0	176
OG0000008	173	0	0	1	174
OG0000009	0	159	0	0	159
OG0000010	156	0	0	2	158
OG0000011	0	0	155	0	155
OG0000012	154	0	0	0	154
OG0000013	153	0	0	0	153
OG0000014	145	0	0	0	145
OG0000015	132	0	0	1	133
OG0000016	0	129	0	0	129
OG0000017	126	0	0	1	127
OG0000018	110	0	0	13	123
OG0000019	0	123	0	0	123
OG0000020	0	0	123	0	123
OG0000021	113	1	0	5	119
OG0000022	105	4	0	9	118
OG0000023	91	2	2	22	117
OG0000024	0	117	0	0	117
OG0000025	106	0	0	9	115
OG0000026	0	115	0	0	115
OG0000027	0	114	0	0	114
OG0000028	0	113	0	0	113
OG0000029	111	0	0	1	112
OG0000030	103	0	0	0	103
OG0000031	49	25	1	23	98
OG0000032	22	61	0	14	97
OG0000033	25	58	1	11	95
OG0000034	0	94	0	0	94
OG0000035	89	3	0	1	93
OG0000036	45	30	0	15	90
OG0000037	88	0	0	2	90
OG0000038	0	90	0	0	90
OG0000039	0	0	89	0	89
OG0000040	88	0	0	0	88
OG0000041	61	3	0	24	88
OG0000042	15	39	0	34	88
OG0000043	0	88	0	0	88
OG0000044	80	3	0	2	85
OG0000045	83	0	0	2	85
OG0000046	1	0	0	83	84
OG0000047	1	80	0	1	82
OG0000048	0	81	0	0	81
OG0000049	0	80	0	0	80
OG0000050	0	79	0	0	79
OG0000051	0	78	0	0	78
OG0000052	76	0	0	1	77
OG0000053	0	77	0	0	77
OG0000054	76	0	0	0	76
OG0000055	0	75	1	0	76
OG0000056	64	2	0	8	74
OG0000057	70	0	0	3	73
OG0000058	2	1	1	69	73
OG0000059	70	0	0	1	71
OG0000060	0	71	0	0	71
OG0000061	0	0	70	0	70
OG0000062	68	0	0	1	69
OG0000063	0	69	0	0	69
OG0000064	66	0	0	2	68
OG0000065	41	0	0	26	67
OG0000066	66	0	0	0	66
OG0000067	65	0	0	0	65
OG0000068	2	63	0	0	65
OG0000069	63	0	0	0	63
OG0000070	60	0	0	2	62
OG0000071	32	1	1	28	62
OG0000072	0	0	62	0	62
OG0000073	0	0	62	0	62
OG0000074	61	0	0	0	61
OG0000075	60	0	0	0	60
OG0000076	58	0	0	2	60
OG0000077	0	60	0	0	60
OG0000078	0	60	0	0	60
OG0000079	58	0	0	1	59
OG0000080	38	15	4	2	59
OG0000081	0	59	0	0	59
OG0000082	58	0	0	0	58
OG0000083	8	42	0	8	58
OG0000084	4	49	0	5	58
OG0000085	0	58	0	0	58
OG0000086	0	0	58	0	58
OG0000087	55	0	0	2	57
OG0000088	1	56	0	0	57
OG0000089	0	57	0	0	57
OG0000090	0	57	0	0	57
OG0000091	56	0	0	0	56
OG0000092	54	1	0	1	56
OG0000093	54	0	0	1	55
OG0000094	0	55	0	0	55
OG0000095	17	0	0	37	54
OG0000096	24	17	3	10	54
OG0000097	0	54	0	0	54
OG0000098	0	54	0	0	54
OG0000099	48	1	1	3	53
OG0000100	52	0	0	1	53
OG0000101	0	53	0	0	53
OG0000102	0	0	53	0	53
OG0000103	52	0	0	0	52
OG0000104	37	3	1	11	52
OG0000105	47	1	0	3	51
OG0000106	0	51	0	0	51
OG0000107	0	0	51	0	51
OG0000108	21	1	9	19	50
OG0000109	20	2	3	25	50
OG0000110	47	0	0	3	50
OG0000111	50	0	0	0	50
OG0000112	0	50	0	0	50
OG0000113	40	2	0	7	49
OG0000114	48	0	0	1	49
OG0000115	44	0	0	5	49
OG0000116	0	0	49	0	49
OG0000117	0	0	0	49	49
OG0000118	1	46	0	1	48
OG0000119	0	48	0	0	48
OG0000120	0	48	0	0	48
OG0000121	0	48	0	0	48
OG0000122	0	46	2	0	48
OG0000123	47	0	0	0	47
OG0000124	30	0	0	17	47
OG0000125	47	0	0	0	47
OG0000126	0	47	0	0	47
OG0000127	0	47	0	0	47
OG0000128	45	0	0	1	46
OG0000129	32	1	5	8	46
OG0000130	25	17	0	4	46
OG0000131	0	46	0	0	46
OG0000132	0	46	0	0	46
OG0000133	0	0	46	0	46
OG0000134	45	0	0	0	45
OG0000135	45	0	0	0	45
OG0000136	45	0	0	0	45
OG0000137	10	22	4	9	45
OG0000138	1	44	0	0	45
OG0000139	0	45	0	0	45
OG0000140	0	45	0	0	45
OG0000141	0	44	1	0	45
OG0000142	0	0	45	0	45
OG0000143	0	0	45	0	45
OG0000144	0	0	45	0	45
OG0000145	0	0	0	45	45
OG0000146	42	0	0	2	44
OG0000147	3	22	17	2	44
OG0000148	0	44	0	0	44
OG0000149	0	44	0	0	44
OG0000150	0	44	0	0	44
OG0000151	0	44	0	0	44
OG0000152	0	0	44	0	44
OG0000153	41	0	0	2	43
OG0000154	42	0	0	1	43
OG0000155	42	0	0	1	43
OG0000156	7	14	0	22	43
OG0000157	0	43	0	0	43
OG0000158	0	0	0	43	43
OG0000159	42	0	0	0	42
OG0000160	17	24	0	1	42
OG0000161	0	42	0	0	42
OG0000162	0	42	0	0	42
OG0000163	0	0	42	0	42
OG0000164	3	23	13	2	41
OG0000165	0	41	0	0	41
OG0000166	0	41	0	0	41
OG0000167	0	0	41	0	41
OG0000168	15	18	1	6	40
OG0000169	39	0	0	1	40
OG0000170	39	0	0	1	40
OG0000171	40	0	0	0	40
OG0000172	2	0	0	38	40
OG0000173	9	22	0	9	40
OG0000174	3	1	0	36	40
OG0000175	4	22	8	6	40
OG0000176	0	40	0	0	40
OG0000177	0	40	0	0	40
OG0000178	31	0	0	8	39
OG0000179	39	0	0	0	39
OG0000180	35	0	0	4	39
OG0000181	26	0	0	13	39
OG0000182	39	0	0	0	39
OG0000183	5	17	0	17	39
OG0000184	4	34	0	1	39
OG0000185	7	23	0	9	39
OG0000186	0	39	0	0	39
OG0000187	0	39	0	0	39
OG0000188	0	39	0	0	39
OG0000189	0	39	0	0	39
OG0000190	0	39	0	0	39
OG0000191	33	3	0	2	38
