Orthogroup	Niphates_augustus.hints.aa	Ephydatia_Emu_v1_prots
OG0000000	jg16110.t1, jg15544.t1, jg9013.t1, jg14319.t1, jg14833.t1, jg21516.t1, jg6637.t1, jg23877.t1, jg15406.t1	Em0012g3a, Em0089g2a
OG0000000	jg27578.t1, jg26221.t1, jg9923.t1, jg27893.t1, jg27794.t1, jg5141.t1, jg11748.t1, jg10162.t1, jg22883.t1, jg5752.t1, jg2825.t1, jg13041.t1, jg22910.t1, jg7354.t1, jg12547.t1, jg6266.t1, jg7411.t1, jg9221.t1, jg19855.t1, jg184.t1, jg200.t1, jg23935.t1, jg12105.t1, jg7345.t1, jg13032.t1, jg17706.t1, jg25639.t1, jg13527.t1, jg3888.t1, jg9295.t1, jg16361.t1, jg7411.t2, jg22885.t1, jg21886.t1, jg3032.t1, jg14286.t1, jg9567.t1, jg15413.t1, jg16572.t1, jg5534.t1, jg5486.t1, jg22886.t1, jg16396.t1, jg18779.t1, jg30040.t1, jg26240.t1, jg3293.t1, jg20162.t1, jg17281.t1	Em0036g29a, Em0015g399a, Em0009g489a, Em0004g1362a, Em0003g1814a, Em0059g4a, Em0002g1367a, Em0017g225a, Em0001g3043a, Em0011g621a, Em0005g328a, Em0010g531a, Em0008g843a, Em0002g1284a, Em0023g737a, Em0020g814a, Em0002g965a, Em0019g843a, Em0019g676a, Em0021g703a, Em0005g472a, Em0004g394a, Em0002g1725a, Em0001g3706a, Em0001g3461a, Em0012g653a, Em0011g1106a, Em0014g289a, Em0001g3250a, Em0003g78a, Em0006g1580a
OG0000002	jg29908.t1, jg19709.t1, jg19712.t1, jg29922.t1, jg10276.t1, jg10276.t2, jg10278.t1, jg26690.t1, jg19734.t1, jg14950.t1, jg26684.t1, jg18338.t1, jg29927.t1, jg14962.t1, jg12949.t1, jg14183.t1, jg14177.t1, jg14953.t1, jg14178.t1, jg13765.t1, jg15123.t1, jg4520.t1, jg21365.t1, jg14176.t1, jg14180.t1	Em0001g697a
OG0000003	jg5124.t1, jg1014.t1, jg25808.t1, jg18137.t1	Em0020g309a, Em0020g307a, Em0020g311a, Em0020g308a
OG0000003	jg12402.t1	Em0013g1123a
OG0000003	jg10730.t1, jg21294.t1, g18521.t1, jg14264.t1, jg3790.t1, jg3819.t1, jg18326.t1, jg499.t1, jg500.t1, jg16250.t1, jg24730.t1, jg21183.t1, jg18562.t1, jg21261.t1, jg15380.t1, jg18491.t1, jg18490.t1, jg16508.t1	Em0012g845a, Em0007g734a, Em0013g788a
OG0000003	g6430.t1, g6431.t1, jg20575.t1, jg18329.t1, jg18488.t1, jg16509.t1, jg21157.t1, jg3813.t1, jg3815.t1, jg3814.t1, jg3816.t1, jg2925.t1, jg9531.t1, jg8787.t1, jg25817.t1, jg1024.t1, jg10731.t1, jg19376.t1, jg13425.t1, jg13339.t1, g11932.t1, jg19378.t1, jg19371.t1, jg19373.t1, jg13424.t1	Em0013g537a
OG0000021	jg20577.t1, jg20578.t1, jg3002.t1, jg23318.t1, jg3510.t1	Em0003g1718a
OG0000022	jg13212.t1, jg16450.t1, jg18788.t1, jg20163.t1, jg10591.t1, jg13160.t1, jg16881.t1, jg26567.t1, jg3889.t1	Em0012g2a, Em0005g666a, Em0005g668a, Em0016g1142a
OG0000023	jg24330.t1, jg6257.t1, jg14707.t1, jg28137.t1, jg13757.t1, jg1011.t1, jg14710.t1, jg14709.t1, jg14708.t1, jg20333.t1, jg4763.t1, jg4764.t1, jg4765.t1, jg366.t1, jg22452.t1, jg24096.t1, jg1051.t1, jg2596.t1, jg1397.t1, jg3090.t1, jg11582.t1, jg11577.t1	Em0010g751a, Em1131g2a
