Orthogroup	Ephydatia_Emu_v1_prots	Human_UP000005640_9606
OG0000003	Em0020g309a, Em0020g307a, Em0020g311a, Em0020g308a, Em0013g1123a	sp|Q9H8W5|TRI45_HUMAN, sp|O75382|TRIM3_HUMAN, sp|Q9C040|TRIM2_HUMAN
OG0000003	Em0012g845a, Em0007g734a, Em0013g788a	sp|O60858|TRI13_HUMAN, sp|Q8IWR1|TRI59_HUMAN
OG0000023	Em0010g751a, Em1131g2a	sp|Q8N6U8|GP161_HUMAN, sp|Q96P66|GP101_HUMAN
OG0000031	Em0003g1030a, Em0003g972a, Em0003g958a, Em0003g1024a, Em0003g1034a, Em0003g1036a, Em0003g912a, Em0003g956a, Em0003g969a, Em0003g966a, Em0003g1035a, Em0003g964a, Em0003g1032a, Em0003g1026a, Em0003g970a, Em0003g965a, Em0003g1033a, Em0003g330a, Em0017g618a, Em0003g689a, Em0003g693a, Em0022g651a, Em0001g236a, Em0023g111a, Em0014g138a	sp|Q9BUZ4|TRAF4_HUMAN
OG0000033	Em0020g650a, Em0003g1390a, Em0124g13a, Em0001g442a, Em0010g489a, Em1066g1a, Em0004g1189a, Em0001g2048a, Em0004g1691a, Em0721g1a, Em0721g3a, Em0023g914a, Em0002g180a, Em0007g175a, Em0009g908a, Em0001g500a, Em0004g1693a, Em0011g376a, Em0001g2090a, Em0001g2236a, Em0014g264a, Em0017g477a, Em0007g274a, Em0073g19a, Em0014g974a, Em0003g1042a, Em0001g2368a, Em0001g2302a, Em0006g576a, Em0681g5a, Em0002g1781a, Em0001g3336a, Em0009g532a, Em0041g24a, Em0270g4a, Em0021g441a, Em0001g1915a, Em0007g1525a, Em0013g56a, Em0013g498a, Em0052g4a, Em0018g540a, Em0001g912a, Em0009g19a, Em0009g27a, Em0003g1391a, Em0063g15a, Em1067g2a, Em1326g1a, Em0025g81a, Em0004g177a, Em0002g1877a, Em0004g964a, Em0003g1575a, Em0004g1723a, Em0008g155a, Em0005g311a, Em0005g1616a	sp|A6NKG5|RTL1_HUMAN
OG0000055	Em0001g2793a, Em1079g2a, Em0001g3401a, Em0005g841a, Em1000g2a, Em0230g5a, Em0929g3a, Em0016g644a, Em0217g3a, Em0094g4a, Em0017g866a, Em0017g875a, Em0001g3015a, Em0004g933a, Em0005g853a, Em0002g1033a, Em0006g666a, Em0003g1287a, Em0005g552a, Em0017g476a, Em0002g1135a, Em0002g1149a, Em0006g423a, Em0010g16a, Em0007g941a, Em0002g1730a, Em0006g1393a, Em0002g1710a, Em0004g1536a, Em0002g331a, Em0002g326a, Em0021g386a, Em0006g421a, Em0011g665a, Em0004g1537a, Em0003g1832a, Em0406g2a, Em0006g654a, Em0001g1942a, Em0001g1594a, Em0007g646a, Em0001g1020a, Em0002g1180a, Em0002g1179a, Em0001g1904a, Em0173g8a, Em0001g1341a, Em0390g2a, Em0004g780a, Em0001g3055a, Em0013g1041a, Em0001g3675a, Em0001g3396a, Em0001g3338a, Em0003g1133a, Em0004g432a, Em0024g35a, Em0433g3a, Em0002g1119a, Em0021g709a, Em0014g207a, Em0546g3a, Em0124g10a, Em0002g186a, Em0007g808a, Em0002g1128a, Em0006g1554a, Em0007g1388a, Em0053g1a, Em0007g414a, Em0120g9a, Em0006g383a, Em0507g5a, Em0001g446a, Em0001g2442a	sp|Q6ZNG9|KRBA2_HUMAN
OG0000058	Em0022g82a	sp|Q15738|NSDHL_HUMAN
OG0000071	Em0011g673a	sp|Q9H9A6|LRC40_HUMAN
OG0000080	Em0009g864a, Em0051g4a, Em0009g834a, Em0009g833a, Em0051g18a, Em0009g848a, Em0051g17a, Em0051g15a, Em0001g3413a, Em0001g3405a, Em0001g3419a, Em0001g3415a, Em0001g3392a, Em0001g3515a, Em0001g3310a	sp|P55083|MFAP4_HUMAN
OG0000096	Em0018g161a, Em0001g865a, Em0021g710a, Em0021g717a, Em0021g712a, Em0021g721a, Em0021g719a, Em0021g676a, Em0021g695a, Em0021g700a, Em0021g723a, Em0206g6a, Em0009g368a, Em0009g364a, Em0009g370a, Em0009g366a, Em0884g2a	sp|Q06418|TYRO3_HUMAN, sp|P30530|UFO_HUMAN, sp|Q12866|MERTK_HUMAN
