Orthogroup	Niphates_augustus.hints.aa	Amphimedon_UP000007879_400682
OG0000000	jg16110.t1, jg15544.t1, jg9013.t1, jg14319.t1, jg14833.t1, jg21516.t1, jg6637.t1, jg23877.t1, jg15406.t1	tr|A0A1X7SNU3|A0A1X7SNU3_AMPQE
OG0000000	jg27578.t1, jg26221.t1, jg9923.t1, jg27893.t1, jg27794.t1, jg5141.t1, jg11748.t1, jg10162.t1, jg22883.t1, jg5752.t1, jg2825.t1, jg13041.t1, jg22910.t1, jg7354.t1, jg12547.t1, jg6266.t1, jg7411.t1, jg9221.t1, jg19855.t1, jg184.t1, jg200.t1, jg23935.t1, jg12105.t1, jg7345.t1, jg13032.t1, jg17706.t1, jg25639.t1, jg13527.t1, jg3888.t1, jg9295.t1, jg16361.t1, jg7411.t2, jg22885.t1, jg21886.t1, jg3032.t1, jg14286.t1, jg9567.t1, jg15413.t1, jg16572.t1, jg5534.t1, jg5486.t1, jg22886.t1, jg16396.t1, jg18779.t1, jg30040.t1	tr|A0A1X7UIG3|A0A1X7UIG3_AMPQE, tr|A0A1X7UBA3|A0A1X7UBA3_AMPQE, tr|A0A1X7UP71|A0A1X7UP71_AMPQE, tr|A0A1X7SPZ0|A0A1X7SPZ0_AMPQE, tr|A0A1X7V689|A0A1X7V689_AMPQE, tr|A0A1X7VAR4|A0A1X7VAR4_AMPQE, tr|A0A1X7V798|A0A1X7V798_AMPQE, tr|A0A1X7U6G9|A0A1X7U6G9_AMPQE, tr|A0A1X7TPL3|A0A1X7TPL3_AMPQE, tr|A0A1X7UCE6|A0A1X7UCE6_AMPQE, tr|A0A1X7TKM4|A0A1X7TKM4_AMPQE, tr|A0A1X7V7A6|A0A1X7V7A6_AMPQE, tr|A0A1X7U615|A0A1X7U615_AMPQE, tr|A0A1X7UGG1|A0A1X7UGG1_AMPQE, tr|A0A1X7UWY8|A0A1X7UWY8_AMPQE, tr|A0A1X7U8V9|A0A1X7U8V9_AMPQE, tr|A0A1X7TVE8|A0A1X7TVE8_AMPQE, tr|A0A1X7UTG9|A0A1X7UTG9_AMPQE, tr|A0A1X7V2I6|A0A1X7V2I6_AMPQE, tr|A0A1X7TZT3|A0A1X7TZT3_AMPQE, tr|A0A1X7TY86|A0A1X7TY86_AMPQE, tr|A0A1X7V602|A0A1X7V602_AMPQE, tr|A0A1X7TNB7|A0A1X7TNB7_AMPQE, tr|A0A1X7U4I0|A0A1X7U4I0_AMPQE, tr|A0A1X7T9G7|A0A1X7T9G7_AMPQE, tr|A0A1X7VU73|A0A1X7VU73_AMPQE, tr|A0A1X7UQ58|A0A1X7UQ58_AMPQE, tr|A0A1X7V7D6|A0A1X7V7D6_AMPQE, tr|A0A1X7VWJ6|A0A1X7VWJ6_AMPQE, tr|A0A1X7U5X8|A0A1X7U5X8_AMPQE, tr|A0A1X7UJR1|A0A1X7UJR1_AMPQE, tr|A0A1X7U5R9|A0A1X7U5R9_AMPQE, tr|A0A1X7UQJ1|A0A1X7UQJ1_AMPQE, tr|A0A1X7VSX0|A0A1X7VSX0_AMPQE, tr|A0A1X7VST1|A0A1X7VST1_AMPQE, tr|A0A1X7TST1|A0A1X7TST1_AMPQE, tr|A0A1X7U1I1|A0A1X7U1I1_AMPQE, tr|A0A1X7UA62|A0A1X7UA62_AMPQE, tr|A0A1X7UAS7|A0A1X7UAS7_AMPQE, tr|A0A1X7SF27|A0A1X7SF27_AMPQE, tr|A0A1X7TAL3|A0A1X7TAL3_AMPQE, tr|A0A1X7SU38|A0A1X7SU38_AMPQE, tr|A0A1X7SGI8|A0A1X7SGI8_AMPQE, tr|A0A1X7UUA3|A0A1X7UUA3_AMPQE, tr|A0A1X7VIW4|A0A1X7VIW4_AMPQE, tr|A0A1X7VSE4|A0A1X7VSE4_AMPQE, tr|A0A1X7VF99|A0A1X7VF99_AMPQE, tr|A0A1X7TH89|A0A1X7TH89_AMPQE, tr|A0A1X7V4W2|A0A1X7V4W2_AMPQE, tr|A0A1X7U945|A0A1X7U945_AMPQE, tr|A0A1X7TBA9|A0A1X7TBA9_AMPQE, tr|A0A1X7UZT6|A0A1X7UZT6_AMPQE, tr|A0A1X7TWF2|A0A1X7TWF2_AMPQE, tr|A0A1X7U0S7|A0A1X7U0S7_AMPQE, tr|A0A1X7UTR7|A0A1X7UTR7_AMPQE, tr|A0A1X7VJ97|A0A1X7VJ97_AMPQE, tr|A0A1X7SZB0|A0A1X7SZB0_AMPQE, tr|A0A1X7UNC0|A0A1X7UNC0_AMPQE, tr|A0A1X7U912|A0A1X7U912_AMPQE, tr|A0A1X7TGG1|A0A1X7TGG1_AMPQE, tr|A0A1X7SQG3|A0A1X7SQG3_AMPQE, tr|A0A1X7T9T3|A0A1X7T9T3_AMPQE, tr|A0A1X7V591|A0A1X7V591_AMPQE, tr|A0A1X7VIG9|A0A1X7VIG9_AMPQE, tr|A0A1X7U5T0|A0A1X7U5T0_AMPQE, tr|A0A1X7SHE4|A0A1X7SHE4_AMPQE, tr|A0A1X7U5P1|A0A1X7U5P1_AMPQE, tr|A0A1X7SSU7|A0A1X7SSU7_AMPQE, tr|A0A1X7VIK8|A0A1X7VIK8_AMPQE, tr|A0A1X7V8R4|A0A1X7V8R4_AMPQE, tr|A0A1X7U6L8|A0A1X7U6L8_AMPQE, tr|A0A1X7U8E8|A0A1X7U8E8_AMPQE, tr|A0A1X7U2J5|A0A1X7U2J5_AMPQE, tr|A0A1X7TEI4|A0A1X7TEI4_AMPQE, tr|A0A1X7VSA5|A0A1X7VSA5_AMPQE, tr|A0A1X7VGZ7|A0A1X7VGZ7_AMPQE, tr|A0A1X7VG67|A0A1X7VG67_AMPQE, tr|A0A1X7TK77|A0A1X7TK77_AMPQE, tr|A0A1X7SKY4|A0A1X7SKY4_AMPQE, tr|A0A1X7U3E7|A0A1X7U3E7_AMPQE, tr|A0A1X7VC58|A0A1X7VC58_AMPQE, tr|A0A1X7V9E1|A0A1X7V9E1_AMPQE, tr|A0A1X7TQR5|A0A1X7TQR5_AMPQE, tr|A0A1X7VS04|A0A1X7VS04_AMPQE, tr|A0A1X7UTG6|A0A1X7UTG6_AMPQE, tr|A0A1X7VS83|A0A1X7VS83_AMPQE, tr|A0A1X7VWQ9|A0A1X7VWQ9_AMPQE, tr|A0A1X7VF61|A0A1X7VF61_AMPQE, tr|A0A1X7VJK6|A0A1X7VJK6_AMPQE, tr|A0A1X7VK98|A0A1X7VK98_AMPQE, tr|A0A1X7UXB6|A0A1X7UXB6_AMPQE, tr|A0A1X7UAR7|A0A1X7UAR7_AMPQE, tr|A0A1X7UXR9|A0A1X7UXR9_AMPQE, tr|A0A1X7SDM8|A0A1X7SDM8_AMPQE, tr|A0A1X7U2G5|A0A1X7U2G5_AMPQE, tr|A0A1X7SVZ8|A0A1X7SVZ8_AMPQE, tr|A0A1X7VTP9|A0A1X7VTP9_AMPQE, tr|A0A1X7UN98|A0A1X7UN98_AMPQE, tr|A0A1X7VRW4|A0A1X7VRW4_AMPQE, tr|A0A1X7T5I5|A0A1X7T5I5_AMPQE, tr|A0A1X7V153|A0A1X7V153_AMPQE, tr|A0A1X7TRQ9|A0A1X7TRQ9_AMPQE, tr|A0A1X7SYH6|A0A1X7SYH6_AMPQE, tr|A0A1X7TU15|A0A1X7TU15_AMPQE, tr|A0A1X7VFY8|A0A1X7VFY8_AMPQE, tr|A0A1X7UCN9|A0A1X7UCN9_AMPQE, tr|A0A1X7UZW7|A0A1X7UZW7_AMPQE, tr|A0A1X7UWJ9|A0A1X7UWJ9_AMPQE, tr|A0A1X7T345|A0A1X7T345_AMPQE, tr|A0A1X7VBG3|A0A1X7VBG3_AMPQE, tr|A0A1X7V7T0|A0A1X7V7T0_AMPQE, tr|A0A1X7UDY9|A0A1X7UDY9_AMPQE, tr|A0A1X7VL32|A0A1X7VL32_AMPQE, tr|A0A1X7TWR2|A0A1X7TWR2_AMPQE, tr|A0A1X7UEI0|A0A1X7UEI0_AMPQE, tr|A0A1X7UR61|A0A1X7UR61_AMPQE, tr|A0A1X7T669|A0A1X7T669_AMPQE, tr|A0A1X7UM97|A0A1X7UM97_AMPQE, tr|A0A1X7SM34|A0A1X7SM34_AMPQE, tr|A0A1X7SLA7|A0A1X7SLA7_AMPQE, tr|A0A1X7T4A1|A0A1X7T4A1_AMPQE, tr|A0A1X7TU57|A0A1X7TU57_AMPQE, tr|A0A1X7VR19|A0A1X7VR19_AMPQE, tr|A0A1X7UKC2|A0A1X7UKC2_AMPQE, tr|A0A1X7UYM4|A0A1X7UYM4_AMPQE, tr|A0A1X7T8M5|A0A1X7T8M5_AMPQE, tr|A0A1X7V6J9|A0A1X7V6J9_AMPQE, tr|A0A1X7U263|A0A1X7U263_AMPQE, tr|A0A1X7U5C5|A0A1X7U5C5_AMPQE, tr|A0A1X7T1M0|A0A1X7T1M0_AMPQE, tr|A0A1X7V7F1|A0A1X7V7F1_AMPQE, tr|A0A1X7V005|A0A1X7V005_AMPQE, tr|A0A1X7TG12|A0A1X7TG12_AMPQE, tr|A0A1X7U505|A0A1X7U505_AMPQE, tr|A0A1X7UB22|A0A1X7UB22_AMPQE, tr|A0A1X7SXY2|A0A1X7SXY2_AMPQE, tr|A0A1X7UKY1|A0A1X7UKY1_AMPQE, tr|A0A1X7T7Y2|A0A1X7T7Y2_AMPQE
OG0000000	jg26240.t1	tr|A0A1X7VC80|A0A1X7VC80_AMPQE, tr|A0A1X7UIH3|A0A1X7UIH3_AMPQE, tr|A0A1X7SS38|A0A1X7SS38_AMPQE, tr|A0A1X7TLW4|A0A1X7TLW4_AMPQE, tr|A0A1X7UPA5|A0A1X7UPA5_AMPQE, tr|A0A1X7VEV2|A0A1X7VEV2_AMPQE, tr|A0A1X7UZI7|A0A1X7UZI7_AMPQE, tr|A0A1X7VWI1|A0A1X7VWI1_AMPQE, tr|A0A1X7SW25|A0A1X7SW25_AMPQE, tr|A0A1X7V587|A0A1X7V587_AMPQE, tr|A0A1X7SED0|A0A1X7SED0_AMPQE, tr|A0A1X7TGR5|A0A1X7TGR5_AMPQE, tr|A0A1X7TLW7|A0A1X7TLW7_AMPQE, tr|A0A1X7TVZ6|A0A1X7TVZ6_AMPQE, tr|A0A1X7TUE5|A0A1X7TUE5_AMPQE, tr|A0A1X7UBJ7|A0A1X7UBJ7_AMPQE, tr|A0A1X7VB79|A0A1X7VB79_AMPQE, tr|A0A1X7TTL4|A0A1X7TTL4_AMPQE, tr|A0A1X7VEW2|A0A1X7VEW2_AMPQE, tr|A0A1X7TR46|A0A1X7TR46_AMPQE, tr|A0A1X7VEW7|A0A1X7VEW7_AMPQE, tr|A0A1X7VX28|A0A1X7VX28_AMPQE, tr|A0A1X7TSC6|A0A1X7TSC6_AMPQE, tr|A0A1X7VBB4|A0A1X7VBB4_AMPQE, tr|A0A1X7UJ17|A0A1X7UJ17_AMPQE, tr|A0A1X7TQ17|A0A1X7TQ17_AMPQE, tr|A0A1X7SJU5|A0A1X7SJU5_AMPQE, tr|A0A1X7VHL7|A0A1X7VHL7_AMPQE, tr|A0A1X7SDU8|A0A1X7SDU8_AMPQE, tr|A0A1X7T4A8|A0A1X7T4A8_AMPQE, tr|A0A1X7U171|A0A1X7U171_AMPQE, tr|A0A1X7UK95|A0A1X7UK95_AMPQE, tr|A0A1X7TWE6|A0A1X7TWE6_AMPQE, tr|A0A1X7UZQ0|A0A1X7UZQ0_AMPQE, tr|A0A1X7VPZ1|A0A1X7VPZ1_AMPQE, tr|A0A1X7VM11|A0A1X7VM11_AMPQE, tr|A0A1X7V2U8|A0A1X7V2U8_AMPQE, tr|A0A1X7UU85|A0A1X7UU85_AMPQE, tr|A0A1X7TC56|A0A1X7TC56_AMPQE, tr|A0A1X7U369|A0A1X7U369_AMPQE, tr|A0A1X7TCH9|A0A1X7TCH9_AMPQE, tr|A0A1X7TCJ1|A0A1X7TCJ1_AMPQE, tr|A0A1X7UXD5|A0A1X7UXD5_AMPQE, tr|A0A1X7ULQ4|A0A1X7ULQ4_AMPQE, tr|A0A1X7TRK6|A0A1X7TRK6_AMPQE, tr|A0A1X7TFV2|A0A1X7TFV2_AMPQE, tr|A0A1X7TNU4|A0A1X7TNU4_AMPQE, tr|A0A1X7UYF4|A0A1X7UYF4_AMPQE, tr|A0A1X7TDE4|A0A1X7TDE4_AMPQE, tr|A0A1X7UCT5|A0A1X7UCT5_AMPQE, tr|A0A1X7VBR4|A0A1X7VBR4_AMPQE, tr|A0A1X7U4H4|A0A1X7U4H4_AMPQE, tr|A0A1X7UL23|A0A1X7UL23_AMPQE, tr|A0A1X7V6L5|A0A1X7V6L5_AMPQE, tr|A0A1X7U6S8|A0A1X7U6S8_AMPQE, tr|A0A1X7VGN8|A0A1X7VGN8_AMPQE, tr|A0A1X7TFU1|A0A1X7TFU1_AMPQE
OG0000000	jg3293.t1	tr|A0A1X7T681|A0A1X7T681_AMPQE, tr|A0A1X7VTC9|A0A1X7VTC9_AMPQE, tr|A0A1X7VA72|A0A1X7VA72_AMPQE, tr|A0A1X7TE60|A0A1X7TE60_AMPQE, tr|A0A1X7V588|A0A1X7V588_AMPQE, tr|A0A1X7T553|A0A1X7T553_AMPQE, tr|A0A1X7UXB4|A0A1X7UXB4_AMPQE, tr|A0A1X7UIE9|A0A1X7UIE9_AMPQE, tr|A0A1X7UA95|A0A1X7UA95_AMPQE, tr|A0A1X7TAB6|A0A1X7TAB6_AMPQE, tr|A0A1X7U662|A0A1X7U662_AMPQE, tr|A0A1X7VDH8|A0A1X7VDH8_AMPQE, tr|A0A1X7TCW1|A0A1X7TCW1_AMPQE, tr|A0A1X7SQC8|A0A1X7SQC8_AMPQE, tr|A0A1X7V5W0|A0A1X7V5W0_AMPQE, tr|A0A1X7UWN8|A0A1X7UWN8_AMPQE, tr|A0A1X7TVL8|A0A1X7TVL8_AMPQE
OG0000000	jg20162.t1	tr|A0A1X7U5R3|A0A1X7U5R3_AMPQE, tr|A0A1X7SLX1|A0A1X7SLX1_AMPQE, tr|A0A1X7U228|A0A1X7U228_AMPQE, tr|A0A1X7TYR8|A0A1X7TYR8_AMPQE, tr|A0A1X7UB07|A0A1X7UB07_AMPQE, tr|A0A1X7V7A5|A0A1X7V7A5_AMPQE, tr|A0A1X7TSE3|A0A1X7TSE3_AMPQE, tr|A0A1X7VGU3|A0A1X7VGU3_AMPQE, tr|A0A1X7V3I5|A0A1X7V3I5_AMPQE
OG0000000	jg17281.t1	tr|A0A1X7TYH3|A0A1X7TYH3_AMPQE, tr|A0A1X7TG92|A0A1X7TG92_AMPQE
OG0000002	jg29908.t1	tr|A0A1X7TPY2|A0A1X7TPY2_AMPQE, tr|A0A1X7T9Y6|A0A1X7T9Y6_AMPQE
OG0000002	jg19709.t1	tr|A0A1X7SDC1|A0A1X7SDC1_AMPQE, tr|A0A1X7TIS2|A0A1X7TIS2_AMPQE, tr|A0A1X7SML1|A0A1X7SML1_AMPQE, tr|A0A1X7SL77|A0A1X7SL77_AMPQE, tr|A0A1X7SJB3|A0A1X7SJB3_AMPQE, tr|A0A1X7SZK0|A0A1X7SZK0_AMPQE
OG0000002	jg19712.t1	tr|A0A1X7T192|A0A1X7T192_AMPQE, tr|A0A1X7UJH6|A0A1X7UJH6_AMPQE, tr|A0A1X7SYV1|A0A1X7SYV1_AMPQE, tr|A0A1X7TFJ0|A0A1X7TFJ0_AMPQE, tr|A0A1X7SRH5|A0A1X7SRH5_AMPQE, tr|A0A1X7SZU7|A0A1X7SZU7_AMPQE, tr|A0A1X7TQY2|A0A1X7TQY2_AMPQE, tr|A0A1X7V950|A0A1X7V950_AMPQE, tr|A0A1X7SFK4|A0A1X7SFK4_AMPQE, tr|A0A1X7UW68|A0A1X7UW68_AMPQE, tr|A0A1X7TI03|A0A1X7TI03_AMPQE
OG0000002	jg19734.t1, jg14950.t1	tr|A0A1X7STT5|A0A1X7STT5_AMPQE, tr|A0A1X7SSX5|A0A1X7SSX5_AMPQE, tr|A0A1X7T2P8|A0A1X7T2P8_AMPQE, tr|A0A1X7TCV5|A0A1X7TCV5_AMPQE, tr|A0A1X7TWF5|A0A1X7TWF5_AMPQE, tr|A0A1X7VD83|A0A1X7VD83_AMPQE
