Orthogroup	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
OG0021229	tr|A0A1X7SD67|A0A1X7SD67_AMPQE			
OG0021230	tr|A0A1X7SD76|A0A1X7SD76_AMPQE			
OG0021231	tr|A0A1X7SD78|A0A1X7SD78_AMPQE			
OG0021232	tr|A0A1X7SD79|A0A1X7SD79_AMPQE			
OG0021233	tr|A0A1X7SD83|A0A1X7SD83_AMPQE			
OG0021234	tr|A0A1X7SD84|A0A1X7SD84_AMPQE			
OG0021235	tr|A0A1X7SD89|A0A1X7SD89_AMPQE			
OG0021236	tr|A0A1X7SD94|A0A1X7SD94_AMPQE			
OG0021237	tr|A0A1X7SD96|A0A1X7SD96_AMPQE			
OG0021238	tr|A0A1X7SDA3|A0A1X7SDA3_AMPQE			
OG0021239	tr|A0A1X7SDB2|A0A1X7SDB2_AMPQE			
OG0021240	tr|A0A1X7SDB3|A0A1X7SDB3_AMPQE			
OG0021241	tr|A0A1X7SDB6|A0A1X7SDB6_AMPQE			
OG0021242	tr|A0A1X7SDC4|A0A1X7SDC4_AMPQE			
OG0021243	tr|A0A1X7SDC5|A0A1X7SDC5_AMPQE			
OG0021244	tr|A0A1X7SDC8|A0A1X7SDC8_AMPQE			
OG0021245	tr|A0A1X7SDD0|A0A1X7SDD0_AMPQE			
OG0021246	tr|A0A1X7SDD5|A0A1X7SDD5_AMPQE			
OG0021247	tr|A0A1X7SDD8|A0A1X7SDD8_AMPQE			
OG0021248	tr|A0A1X7SDD9|A0A1X7SDD9_AMPQE			
OG0021249	tr|A0A1X7SDE5|A0A1X7SDE5_AMPQE			
OG0021250	tr|A0A1X7SDE6|A0A1X7SDE6_AMPQE			
OG0021251	tr|A0A1X7SDF0|A0A1X7SDF0_AMPQE			
OG0021252	tr|A0A1X7SDF2|A0A1X7SDF2_AMPQE			
OG0021253	tr|A0A1X7SDF3|A0A1X7SDF3_AMPQE			
OG0021254	tr|A0A1X7SDF5|A0A1X7SDF5_AMPQE			
OG0021255	tr|A0A1X7SDF7|A0A1X7SDF7_AMPQE			
OG0021256	tr|A0A1X7SDG0|A0A1X7SDG0_AMPQE			
OG0021257	tr|A0A1X7SDG6|A0A1X7SDG6_AMPQE			
OG0021258	tr|A0A1X7SDG8|A0A1X7SDG8_AMPQE			
OG0021259	tr|A0A1X7SDH4|A0A1X7SDH4_AMPQE			
OG0021260	tr|A0A1X7SDI6|A0A1X7SDI6_AMPQE			
OG0021261	tr|A0A1X7SDI9|A0A1X7SDI9_AMPQE			
OG0021262	tr|A0A1X7SDJ0|A0A1X7SDJ0_AMPQE			
OG0021263	tr|A0A1X7SDJ4|A0A1X7SDJ4_AMPQE			
OG0021264	tr|A0A1X7SDJ6|A0A1X7SDJ6_AMPQE			
OG0021265	tr|A0A1X7SDJ7|A0A1X7SDJ7_AMPQE			
OG0021266	tr|A0A1X7SDJ8|A0A1X7SDJ8_AMPQE			
OG0021267	tr|A0A1X7SDK0|A0A1X7SDK0_AMPQE			
OG0021268	tr|A0A1X7SDK4|A0A1X7SDK4_AMPQE			
OG0021269	tr|A0A1X7SDL8|A0A1X7SDL8_AMPQE			
OG0021270	tr|A0A1X7SDM6|A0A1X7SDM6_AMPQE			
OG0021271	tr|A0A1X7SDN1|A0A1X7SDN1_AMPQE			
OG0021272	tr|A0A1X7SDN3|A0A1X7SDN3_AMPQE			
OG0021273	tr|A0A1X7SDP3|A0A1X7SDP3_AMPQE			
OG0021274	tr|A0A1X7SDQ6|A0A1X7SDQ6_AMPQE			
OG0021275	tr|A0A1X7SDQ8|A0A1X7SDQ8_AMPQE			
OG0021276	tr|A0A1X7SDR1|A0A1X7SDR1_AMPQE			
OG0021277	tr|A0A1X7SDR2|A0A1X7SDR2_AMPQE			
OG0021278	tr|A0A1X7SDR6|A0A1X7SDR6_AMPQE			
OG0021279	tr|A0A1X7SDS9|A0A1X7SDS9_AMPQE			
OG0021280	tr|A0A1X7SDT0|A0A1X7SDT0_AMPQE			
OG0021281	tr|A0A1X7SDU1|A0A1X7SDU1_AMPQE			
OG0021282	tr|A0A1X7SDU5|A0A1X7SDU5_AMPQE			
OG0021283	tr|A0A1X7SDU6|A0A1X7SDU6_AMPQE			
OG0021284	tr|A0A1X7SDV5|A0A1X7SDV5_AMPQE			
OG0021285	tr|A0A1X7SDW0|A0A1X7SDW0_AMPQE			
OG0021286	tr|A0A1X7SDW6|A0A1X7SDW6_AMPQE			
OG0021287	tr|A0A1X7SDW7|A0A1X7SDW7_AMPQE			
OG0021288	tr|A0A1X7SDX1|A0A1X7SDX1_AMPQE			
OG0021289	tr|A0A1X7SDY4|A0A1X7SDY4_AMPQE			
OG0021290	tr|A0A1X7SDZ9|A0A1X7SDZ9_AMPQE			
OG0021291	tr|A0A1X7SE26|A0A1X7SE26_AMPQE			
OG0021292	tr|A0A1X7SE28|A0A1X7SE28_AMPQE			
OG0021293	tr|A0A1X7SE37|A0A1X7SE37_AMPQE			
OG0021294	tr|A0A1X7SE46|A0A1X7SE46_AMPQE			
OG0021295	tr|A0A1X7SE53|A0A1X7SE53_AMPQE			
OG0021296	tr|A0A1X7SE62|A0A1X7SE62_AMPQE			
OG0021297	tr|A0A1X7SE67|A0A1X7SE67_AMPQE			
OG0021298	tr|A0A1X7SE72|A0A1X7SE72_AMPQE			
OG0021299	tr|A0A1X7SE74|A0A1X7SE74_AMPQE			
OG0021300	tr|A0A1X7SE75|A0A1X7SE75_AMPQE			
OG0021301	tr|A0A1X7SE77|A0A1X7SE77_AMPQE			
OG0021302	tr|A0A1X7SE82|A0A1X7SE82_AMPQE			
OG0021303	tr|A0A1X7SE85|A0A1X7SE85_AMPQE			
OG0021304	tr|A0A1X7SE86|A0A1X7SE86_AMPQE			
OG0021305	tr|A0A1X7SE91|A0A1X7SE91_AMPQE			
OG0021306	tr|A0A1X7SE98|A0A1X7SE98_AMPQE			
OG0021307	tr|A0A1X7SE99|A0A1X7SE99_AMPQE			
OG0021308	tr|A0A1X7SEA8|A0A1X7SEA8_AMPQE			
OG0021309	tr|A0A1X7SEA9|A0A1X7SEA9_AMPQE			
OG0021310	tr|A0A1X7SEB0|A0A1X7SEB0_AMPQE			
OG0021311	tr|A0A1X7SEB7|A0A1X7SEB7_AMPQE			
OG0021312	tr|A0A1X7SEC3|A0A1X7SEC3_AMPQE			
OG0021313	tr|A0A1X7SEC5|A0A1X7SEC5_AMPQE			
OG0021314	tr|A0A1X7SEE0|A0A1X7SEE0_AMPQE			
OG0021315	tr|A0A1X7SEE8|A0A1X7SEE8_AMPQE			
OG0021316	tr|A0A1X7SEF1|A0A1X7SEF1_AMPQE			
OG0021317	tr|A0A1X7SEF4|A0A1X7SEF4_AMPQE			
OG0021318	tr|A0A1X7SEF5|A0A1X7SEF5_AMPQE			
OG0021319	tr|A0A1X7SEF7|A0A1X7SEF7_AMPQE			
OG0021320	tr|A0A1X7SEG1|A0A1X7SEG1_AMPQE			
OG0021321	tr|A0A1X7SEG2|A0A1X7SEG2_AMPQE			
OG0021322	tr|A0A1X7SEG5|A0A1X7SEG5_AMPQE			
OG0021323	tr|A0A1X7SEH3|A0A1X7SEH3_AMPQE			
OG0021324	tr|A0A1X7SEH4|A0A1X7SEH4_AMPQE			
OG0021325	tr|A0A1X7SEH5|A0A1X7SEH5_AMPQE			
OG0021326	tr|A0A1X7SEI0|A0A1X7SEI0_AMPQE			
OG0021327	tr|A0A1X7SEI1|A0A1X7SEI1_AMPQE			
OG0021328	tr|A0A1X7SEJ9|A0A1X7SEJ9_AMPQE			
OG0021329	tr|A0A1X7SEK3|A0A1X7SEK3_AMPQE			
OG0021330	tr|A0A1X7SEK5|A0A1X7SEK5_AMPQE			
OG0021331	tr|A0A1X7SEL3|A0A1X7SEL3_AMPQE			
OG0021332	tr|A0A1X7SEL4|A0A1X7SEL4_AMPQE			
OG0021333	tr|A0A1X7SEP2|A0A1X7SEP2_AMPQE			
OG0021334	tr|A0A1X7SEP7|A0A1X7SEP7_AMPQE			
OG0021335	tr|A0A1X7SER0|A0A1X7SER0_AMPQE			
OG0021336	tr|A0A1X7SER8|A0A1X7SER8_AMPQE			
OG0021337	tr|A0A1X7SES4|A0A1X7SES4_AMPQE			
OG0021338	tr|A0A1X7SES8|A0A1X7SES8_AMPQE			
OG0021339	tr|A0A1X7SET0|A0A1X7SET0_AMPQE			
OG0021340	tr|A0A1X7SET3|A0A1X7SET3_AMPQE			
OG0021341	tr|A0A1X7SEU1|A0A1X7SEU1_AMPQE			
OG0021342	tr|A0A1X7SEU3|A0A1X7SEU3_AMPQE			
OG0021343	tr|A0A1X7SEU9|A0A1X7SEU9_AMPQE			
OG0021344	tr|A0A1X7SEV2|A0A1X7SEV2_AMPQE			
OG0021345	tr|A0A1X7SEW2|A0A1X7SEW2_AMPQE			
OG0021346	tr|A0A1X7SEW7|A0A1X7SEW7_AMPQE			
OG0021347	tr|A0A1X7SEX1|A0A1X7SEX1_AMPQE			
OG0021348	tr|A0A1X7SEX3|A0A1X7SEX3_AMPQE			
OG0021349	tr|A0A1X7SEX5|A0A1X7SEX5_AMPQE			
OG0021350	tr|A0A1X7SEX6|A0A1X7SEX6_AMPQE			
OG0021351	tr|A0A1X7SEY1|A0A1X7SEY1_AMPQE			
OG0021352	tr|A0A1X7SEY2|A0A1X7SEY2_AMPQE			
OG0021353	tr|A0A1X7SEY5|A0A1X7SEY5_AMPQE			
OG0021354	tr|A0A1X7SEY9|A0A1X7SEY9_AMPQE			
OG0021355	tr|A0A1X7SEZ0|A0A1X7SEZ0_AMPQE			
OG0021356	tr|A0A1X7SEZ5|A0A1X7SEZ5_AMPQE			
OG0021357	tr|A0A1X7SEZ8|A0A1X7SEZ8_AMPQE			
OG0021358	tr|A0A1X7SF11|A0A1X7SF11_AMPQE			
OG0021359	tr|A0A1X7SF13|A0A1X7SF13_AMPQE			
OG0021360	tr|A0A1X7SF25|A0A1X7SF25_AMPQE			
OG0021361	tr|A0A1X7SF29|A0A1X7SF29_AMPQE			
OG0021362	tr|A0A1X7SF31|A0A1X7SF31_AMPQE			
OG0021363	tr|A0A1X7SF50|A0A1X7SF50_AMPQE			
OG0021364	tr|A0A1X7SF53|A0A1X7SF53_AMPQE			
OG0021365	tr|A0A1X7SF61|A0A1X7SF61_AMPQE			
OG0021366	tr|A0A1X7SF65|A0A1X7SF65_AMPQE			
OG0021367	tr|A0A1X7SF73|A0A1X7SF73_AMPQE			
OG0021368	tr|A0A1X7SF75|A0A1X7SF75_AMPQE			
OG0021369	tr|A0A1X7SF76|A0A1X7SF76_AMPQE			
OG0021370	tr|A0A1X7SF81|A0A1X7SF81_AMPQE			
OG0021371	tr|A0A1X7SF95|A0A1X7SF95_AMPQE			
OG0021372	tr|A0A1X7SFA6|A0A1X7SFA6_AMPQE			
OG0021373	tr|A0A1X7SFB0|A0A1X7SFB0_AMPQE			
OG0021374	tr|A0A1X7SFB2|A0A1X7SFB2_AMPQE			
OG0021375	tr|A0A1X7SFB8|A0A1X7SFB8_AMPQE			
OG0021376	tr|A0A1X7SFC0|A0A1X7SFC0_AMPQE			
OG0021377	tr|A0A1X7SFC2|A0A1X7SFC2_AMPQE			
OG0021378	tr|A0A1X7SFC3|A0A1X7SFC3_AMPQE			
OG0021379	tr|A0A1X7SFD8|A0A1X7SFD8_AMPQE			
OG0021380	tr|A0A1X7SFE6|A0A1X7SFE6_AMPQE			
OG0021381	tr|A0A1X7SFF1|A0A1X7SFF1_AMPQE			
OG0021382	tr|A0A1X7SFF3|A0A1X7SFF3_AMPQE			
OG0021383	tr|A0A1X7SFF5|A0A1X7SFF5_AMPQE			
OG0021384	tr|A0A1X7SFG2|A0A1X7SFG2_AMPQE			
OG0021385	tr|A0A1X7SFG8|A0A1X7SFG8_AMPQE			
OG0021386	tr|A0A1X7SFH2|A0A1X7SFH2_AMPQE			
OG0021387	tr|A0A1X7SFH5|A0A1X7SFH5_AMPQE			
OG0021388	tr|A0A1X7SFL8|A0A1X7SFL8_AMPQE			
OG0021389	tr|A0A1X7SFM4|A0A1X7SFM4_AMPQE			
OG0021390	tr|A0A1X7SFN1|A0A1X7SFN1_AMPQE			
OG0021391	tr|A0A1X7SFN4|A0A1X7SFN4_AMPQE			
OG0021392	tr|A0A1X7SFP0|A0A1X7SFP0_AMPQE			
OG0021393	tr|A0A1X7SFR7|A0A1X7SFR7_AMPQE			
OG0021394	tr|A0A1X7SFS3|A0A1X7SFS3_AMPQE			
OG0021395	tr|A0A1X7SFU5|A0A1X7SFU5_AMPQE			
OG0021396	tr|A0A1X7SFU9|A0A1X7SFU9_AMPQE			
OG0021397	tr|A0A1X7SFW1|A0A1X7SFW1_AMPQE			
OG0021398	tr|A0A1X7SFW5|A0A1X7SFW5_AMPQE			
OG0021399	tr|A0A1X7SFW8|A0A1X7SFW8_AMPQE			
OG0021400	tr|A0A1X7SFY9|A0A1X7SFY9_AMPQE			
OG0021401	tr|A0A1X7SFZ8|A0A1X7SFZ8_AMPQE			
OG0021402	tr|A0A1X7SG05|A0A1X7SG05_AMPQE			
OG0021403	tr|A0A1X7SG14|A0A1X7SG14_AMPQE			
OG0021404	tr|A0A1X7SG21|A0A1X7SG21_AMPQE			
OG0021405	tr|A0A1X7SG45|A0A1X7SG45_AMPQE			
OG0021406	tr|A0A1X7SG46|A0A1X7SG46_AMPQE			
OG0021407	tr|A0A1X7SG47|A0A1X7SG47_AMPQE			
OG0021408	tr|A0A1X7SG53|A0A1X7SG53_AMPQE			
OG0021409	tr|A0A1X7SG57|A0A1X7SG57_AMPQE			
OG0021410	tr|A0A1X7SG65|A0A1X7SG65_AMPQE			
OG0021411	tr|A0A1X7SG68|A0A1X7SG68_AMPQE			
OG0021412	tr|A0A1X7SG71|A0A1X7SG71_AMPQE			
OG0021413	tr|A0A1X7SG81|A0A1X7SG81_AMPQE			
OG0021414	tr|A0A1X7SG83|A0A1X7SG83_AMPQE			
OG0021415	tr|A0A1X7SG87|A0A1X7SG87_AMPQE			
OG0021416	tr|A0A1X7SG92|A0A1X7SG92_AMPQE			
OG0021417	tr|A0A1X7SG95|A0A1X7SG95_AMPQE			
OG0021418	tr|A0A1X7SG96|A0A1X7SG96_AMPQE			
OG0021419	tr|A0A1X7SG98|A0A1X7SG98_AMPQE			
OG0021420	tr|A0A1X7SGA0|A0A1X7SGA0_AMPQE			
OG0021421	tr|A0A1X7SGA2|A0A1X7SGA2_AMPQE			
OG0021422	tr|A0A1X7SGB4|A0A1X7SGB4_AMPQE			
OG0021423	tr|A0A1X7SGB8|A0A1X7SGB8_AMPQE			
OG0021424	tr|A0A1X7SGC8|A0A1X7SGC8_AMPQE			
OG0021425	tr|A0A1X7SGD1|A0A1X7SGD1_AMPQE			
OG0021426	tr|A0A1X7SGD2|A0A1X7SGD2_AMPQE			
