Orthogroup	Amphimedon_UP000007879_400682	Human_UP000005640_9606
OG0000003	tr|A0A1X7T9P0|A0A1X7T9P0_AMPQE, tr|A0A1X7VXW0|A0A1X7VXW0_AMPQE, tr|A0A1X7UTY4|A0A1X7UTY4_AMPQE, tr|A0A1X7UWD3|A0A1X7UWD3_AMPQE, tr|A0A1X7UW25|A0A1X7UW25_AMPQE, tr|A0A1X7VAH1|A0A1X7VAH1_AMPQE, tr|A0A1X7UW21|A0A1X7UW21_AMPQE, tr|A0A1X7UW40|A0A1X7UW40_AMPQE, tr|A0A1X7TNI2|A0A1X7TNI2_AMPQE, tr|A0A1X7SMC2|A0A1X7SMC2_AMPQE	sp|Q9H8W5|TRI45_HUMAN, sp|O75382|TRIM3_HUMAN, sp|Q9C040|TRIM2_HUMAN
OG0000003	tr|A0A1X7VRR3|A0A1X7VRR3_AMPQE, tr|A0A1X7SV87|A0A1X7SV87_AMPQE, tr|A0A1X7U6S0|A0A1X7U6S0_AMPQE, tr|A0A1X7TMM1|A0A1X7TMM1_AMPQE, tr|A0A1X7TR12|A0A1X7TR12_AMPQE, tr|A0A1X7SX29|A0A1X7SX29_AMPQE, tr|A0A1X7T457|A0A1X7T457_AMPQE, tr|A0A1X7SH31|A0A1X7SH31_AMPQE, tr|A0A1X7TRB2|A0A1X7TRB2_AMPQE, tr|A0A1X7UFK5|A0A1X7UFK5_AMPQE, tr|A0A1X7TT52|A0A1X7TT52_AMPQE, tr|A0A1X7SVH0|A0A1X7SVH0_AMPQE, tr|A0A1X7T4D0|A0A1X7T4D0_AMPQE, tr|A0A1X7SZK2|A0A1X7SZK2_AMPQE, tr|A0A1X7SDB1|A0A1X7SDB1_AMPQE, tr|A0A1X7U219|A0A1X7U219_AMPQE, tr|A0A1X7UQD7|A0A1X7UQD7_AMPQE, tr|A0A1X7UZF5|A0A1X7UZF5_AMPQE, tr|A0A1X7V0N7|A0A1X7V0N7_AMPQE, tr|A0A1X7TT49|A0A1X7TT49_AMPQE, tr|A0A1X7UFD8|A0A1X7UFD8_AMPQE, tr|A0A1X7T197|A0A1X7T197_AMPQE, tr|A0A1X7SLV7|A0A1X7SLV7_AMPQE, tr|A0A1X7TMC3|A0A1X7TMC3_AMPQE, tr|A0A1X7UX96|A0A1X7UX96_AMPQE, tr|A0A1X7SIW1|A0A1X7SIW1_AMPQE, tr|A0A1X7UX91|A0A1X7UX91_AMPQE, tr|A0A1X7UWQ9|A0A1X7UWQ9_AMPQE, tr|A0A1X7T234|A0A1X7T234_AMPQE, tr|A0A1X7VAH4|A0A1X7VAH4_AMPQE, tr|A0A1X7SVC3|A0A1X7SVC3_AMPQE, tr|A0A1X7UC35|A0A1X7UC35_AMPQE, tr|A0A1X7TI18|A0A1X7TI18_AMPQE, tr|A0A1X7UA59|A0A1X7UA59_AMPQE, tr|A0A1X7SSY4|A0A1X7SSY4_AMPQE, tr|A0A1X7UXK1|A0A1X7UXK1_AMPQE, tr|A0A1X7TN55|A0A1X7TN55_AMPQE, tr|A0A1X7TME6|A0A1X7TME6_AMPQE, tr|A0A1X7TMB8|A0A1X7TMB8_AMPQE, tr|A0A1X7T6X5|A0A1X7T6X5_AMPQE, tr|A0A1X7TCU4|A0A1X7TCU4_AMPQE, tr|A0A1X7TUW3|A0A1X7TUW3_AMPQE, tr|A0A1X7TV59|A0A1X7TV59_AMPQE, tr|A0A1X7UFG2|A0A1X7UFG2_AMPQE, tr|A0A1X7UGA6|A0A1X7UGA6_AMPQE, tr|A0A1X7UGU2|A0A1X7UGU2_AMPQE, tr|A0A1X7TJD7|A0A1X7TJD7_AMPQE, tr|A0A1X7VB32|A0A1X7VB32_AMPQE, tr|A0A1X7T5R3|A0A1X7T5R3_AMPQE, tr|A0A1X7UVH3|A0A1X7UVH3_AMPQE, tr|A0A1X7TST0|A0A1X7TST0_AMPQE, tr|A0A1X7UUL3|A0A1X7UUL3_AMPQE, tr|A0A1X7TCS1|A0A1X7TCS1_AMPQE, tr|A0A1X7UVR6|A0A1X7UVR6_AMPQE, tr|A0A1X7TVR9|A0A1X7TVR9_AMPQE, tr|A0A1X7UGT5|A0A1X7UGT5_AMPQE, tr|A0A1X7TKS3|A0A1X7TKS3_AMPQE, tr|A0A1X7TKY3|A0A1X7TKY3_AMPQE, tr|A0A1X7TKM3|A0A1X7TKM3_AMPQE, tr|A0A1X7TAY0|A0A1X7TAY0_AMPQE, tr|A0A1X7UA12|A0A1X7UA12_AMPQE, tr|A0A1X7TUV8|A0A1X7TUV8_AMPQE, tr|A0A1X7TTC3|A0A1X7TTC3_AMPQE, tr|A0A1X7U5A2|A0A1X7U5A2_AMPQE, tr|A0A1X7URP2|A0A1X7URP2_AMPQE, tr|A0A1X7UVI4|A0A1X7UVI4_AMPQE, tr|A0A1X7UZB6|A0A1X7UZB6_AMPQE, tr|A0A1X7V9Q2|A0A1X7V9Q2_AMPQE, tr|A0A1X7T0N0|A0A1X7T0N0_AMPQE, tr|A0A1X7U1N4|A0A1X7U1N4_AMPQE, tr|A0A1X7UUD9|A0A1X7UUD9_AMPQE, tr|A0A1X7UV11|A0A1X7UV11_AMPQE, tr|A0A1X7SW21|A0A1X7SW21_AMPQE, tr|A0A1X7UMG4|A0A1X7UMG4_AMPQE, tr|A0A1X7UZ81|A0A1X7UZ81_AMPQE, tr|A0A1X7UVD2|A0A1X7UVD2_AMPQE, tr|A0A1X7U2S4|A0A1X7U2S4_AMPQE, tr|A0A1X7UV20|A0A1X7UV20_AMPQE, tr|A0A1X7VA04|A0A1X7VA04_AMPQE, tr|A0A1X7US26|A0A1X7US26_AMPQE, tr|A0A1X7US33|A0A1X7US33_AMPQE, tr|A0A1X7UM64|A0A1X7UM64_AMPQE, tr|A0A1X7UM70|A0A1X7UM70_AMPQE, tr|A0A1X7TZX3|A0A1X7TZX3_AMPQE, tr|A0A1X7TY67|A0A1X7TY67_AMPQE, tr|A0A1X7TVD0|A0A1X7TVD0_AMPQE, tr|A0A1X7UYA5|A0A1X7UYA5_AMPQE, tr|A0A1X7T1Y7|A0A1X7T1Y7_AMPQE, tr|A0A1X7UVA7|A0A1X7UVA7_AMPQE, tr|A0A1X7T6B0|A0A1X7T6B0_AMPQE, tr|A0A1X7TZV5|A0A1X7TZV5_AMPQE, tr|A0A1X7U4R0|A0A1X7U4R0_AMPQE, tr|A0A1X7URP3|A0A1X7URP3_AMPQE, tr|A0A1X7SWP3|A0A1X7SWP3_AMPQE, tr|A0A1X7UNE1|A0A1X7UNE1_AMPQE, tr|A0A1X7U3A5|A0A1X7U3A5_AMPQE, tr|A0A1X7US37|A0A1X7US37_AMPQE, tr|A0A1X7STX1|A0A1X7STX1_AMPQE, tr|A0A1X7T7Q0|A0A1X7T7Q0_AMPQE, tr|I1F222|I1F222_AMPQE, tr|A0A1X7U0G4|A0A1X7U0G4_AMPQE, tr|A0A1X7SRM8|A0A1X7SRM8_AMPQE, tr|A0A1X7SZV0|A0A1X7SZV0_AMPQE, tr|A0A1X7SUJ8|A0A1X7SUJ8_AMPQE, tr|A0A1X7SLS9|A0A1X7SLS9_AMPQE, tr|A0A1X7TKK0|A0A1X7TKK0_AMPQE, tr|A0A1X7TK97|A0A1X7TK97_AMPQE	sp|O60858|TRI13_HUMAN, sp|Q8IWR1|TRI59_HUMAN
OG0000023	tr|A0A1X7T0P3|A0A1X7T0P3_AMPQE, tr|A0A1X7TA80|A0A1X7TA80_AMPQE, tr|A0A1X7SVK1|A0A1X7SVK1_AMPQE, tr|A0A1X7TV58|A0A1X7TV58_AMPQE, tr|A0A1X7T7E6|A0A1X7T7E6_AMPQE, tr|A0A1X7T714|A0A1X7T714_AMPQE, tr|A0A1X7UCD2|A0A1X7UCD2_AMPQE, tr|A0A1X7UKS4|A0A1X7UKS4_AMPQE, tr|A0A1X7VIN4|A0A1X7VIN4_AMPQE, tr|A0A1X7UKL6|A0A1X7UKL6_AMPQE, tr|A0A1X7TZ89|A0A1X7TZ89_AMPQE, tr|A0A1X7TUL4|A0A1X7TUL4_AMPQE, tr|A0A1X7VAX3|A0A1X7VAX3_AMPQE, tr|A0A1X7U3P0|A0A1X7U3P0_AMPQE, tr|A0A1X7TU63|A0A1X7TU63_AMPQE, tr|A0A1X7TU70|A0A1X7TU70_AMPQE, tr|A0A1X7TTS8|A0A1X7TTS8_AMPQE, tr|A0A1X7TU80|A0A1X7TU80_AMPQE, tr|A0A1X7TUL9|A0A1X7TUL9_AMPQE, tr|A0A1X7T9V2|A0A1X7T9V2_AMPQE, tr|A0A1X7TAJ8|A0A1X7TAJ8_AMPQE, tr|A0A1X7T4C0|A0A1X7T4C0_AMPQE, tr|A0A1X7TTT8|A0A1X7TTT8_AMPQE, tr|A0A1X7T3Z3|A0A1X7T3Z3_AMPQE, tr|A0A1X7TV46|A0A1X7TV46_AMPQE, tr|A0A1X7SGS2|A0A1X7SGS2_AMPQE, tr|A0A1X7TVL6|A0A1X7TVL6_AMPQE, tr|A0A1X7TVK7|A0A1X7TVK7_AMPQE, tr|A0A1X7TVK3|A0A1X7TVK3_AMPQE, tr|A0A1X7UHD2|A0A1X7UHD2_AMPQE, tr|A0A1X7T2Z0|A0A1X7T2Z0_AMPQE, tr|A0A1X7T1B8|A0A1X7T1B8_AMPQE, tr|A0A1X7TV67|A0A1X7TV67_AMPQE, tr|A0A1X7TUL2|A0A1X7TUL2_AMPQE, tr|A0A1X7TVL1|A0A1X7TVL1_AMPQE, tr|A0A1X7TA30|A0A1X7TA30_AMPQE, tr|A0A1X7T4A0|A0A1X7T4A0_AMPQE, tr|A0A1X7SVF0|A0A1X7SVF0_AMPQE, tr|A0A1X7UHY8|A0A1X7UHY8_AMPQE, tr|A0A1X7UIS3|A0A1X7UIS3_AMPQE, tr|A0A1X7TV36|A0A1X7TV36_AMPQE, tr|A0A1X7TUK7|A0A1X7TUK7_AMPQE, tr|A0A1X7UIT0|A0A1X7UIT0_AMPQE, tr|A0A1X7TUS4|A0A1X7TUS4_AMPQE, tr|A0A1X7UIR6|A0A1X7UIR6_AMPQE, tr|A0A1X7T707|A0A1X7T707_AMPQE, tr|A0A1X7TV41|A0A1X7TV41_AMPQE, tr|A0A1X7TUL8|A0A1X7TUL8_AMPQE, tr|A0A1X7T7T3|A0A1X7T7T3_AMPQE, tr|A0A1X7T311|A0A1X7T311_AMPQE, tr|A0A1X7TKL8|A0A1X7TKL8_AMPQE, tr|A0A1X7T7E1|A0A1X7T7E1_AMPQE, tr|A0A1X7TAS5|A0A1X7TAS5_AMPQE, tr|A0A1X7TUK1|A0A1X7TUK1_AMPQE, tr|A0A1X7UHY3|A0A1X7UHY3_AMPQE, tr|A0A1X7T7P3|A0A1X7T7P3_AMPQE, tr|A0A1X7TAF4|A0A1X7TAF4_AMPQE, tr|A0A1X7T4Z6|A0A1X7T4Z6_AMPQE, tr|A0A1X7UIS5|A0A1X7UIS5_AMPQE, tr|A0A1X7TV53|A0A1X7TV53_AMPQE, tr|A0A1X7TUQ9|A0A1X7TUQ9_AMPQE, tr|A0A1X7T3B1|A0A1X7T3B1_AMPQE, tr|A0A1X7TV62|A0A1X7TV62_AMPQE, tr|A0A1X7UIS8|A0A1X7UIS8_AMPQE, tr|A0A1X7V9W0|A0A1X7V9W0_AMPQE, tr|A0A1X7U8U2|A0A1X7U8U2_AMPQE, tr|A0A1X7U7H0|A0A1X7U7H0_AMPQE, tr|A0A1X7UT59|A0A1X7UT59_AMPQE, tr|A0A1X7TR43|A0A1X7TR43_AMPQE, tr|A0A1X7VFF6|A0A1X7VFF6_AMPQE, tr|A0A1X7VLM2|A0A1X7VLM2_AMPQE, tr|A0A1X7VN69|A0A1X7VN69_AMPQE, tr|A0A1X7U636|A0A1X7U636_AMPQE, tr|A0A1X7U179|A0A1X7U179_AMPQE, tr|A0A1X7U247|A0A1X7U247_AMPQE, tr|A0A1X7SFJ6|A0A1X7SFJ6_AMPQE, tr|A0A1X7TNJ0|A0A1X7TNJ0_AMPQE, tr|A0A1X7U7X6|A0A1X7U7X6_AMPQE, tr|A0A1X7SHE5|A0A1X7SHE5_AMPQE, tr|A0A1X7U8Q4|A0A1X7U8Q4_AMPQE, tr|A0A1X7U8U6|A0A1X7U8U6_AMPQE, tr|A0A1X7U886|A0A1X7U886_AMPQE, tr|A0A1X7U7H4|A0A1X7U7H4_AMPQE, tr|A0A1X7U891|A0A1X7U891_AMPQE, tr|A0A1X7U8Q9|A0A1X7U8Q9_AMPQE, tr|A0A1X7U7Y1|A0A1X7U7Y1_AMPQE, tr|A0A1X7SXZ7|A0A1X7SXZ7_AMPQE, tr|A0A1X7TJX1|A0A1X7TJX1_AMPQE, tr|A0A1X7T742|A0A1X7T742_AMPQE, tr|A0A1X7U4C3|A0A1X7U4C3_AMPQE, tr|A0A1X7U348|A0A1X7U348_AMPQE	sp|Q8N6U8|GP161_HUMAN, sp|Q96P66|GP101_HUMAN
OG0000031	tr|A0A1X7V6N0|A0A1X7V6N0_AMPQE, tr|A0A1X7U8L0|A0A1X7U8L0_AMPQE, tr|A0A1X7VW42|A0A1X7VW42_AMPQE, tr|A0A1X7TM95|A0A1X7TM95_AMPQE, tr|A0A1X7TMM5|A0A1X7TMM5_AMPQE, tr|A0A1X7V577|A0A1X7V577_AMPQE, tr|A0A1X7V5S3|A0A1X7V5S3_AMPQE, tr|A0A1X7V6N5|A0A1X7V6N5_AMPQE, tr|A0A1X7T1W0|A0A1X7T1W0_AMPQE, tr|A0A1X7T1Y5|A0A1X7T1Y5_AMPQE, tr|A0A1X7V582|A0A1X7V582_AMPQE, tr|A0A1X7V4I0|A0A1X7V4I0_AMPQE, tr|A0A1X7U7N6|A0A1X7U7N6_AMPQE, tr|A0A1X7TIC7|A0A1X7TIC7_AMPQE, tr|A0A1X7T9D0|A0A1X7T9D0_AMPQE, tr|A0A1X7T270|A0A1X7T270_AMPQE, tr|A0A1X7SK73|A0A1X7SK73_AMPQE, tr|A0A1X7U8G5|A0A1X7U8G5_AMPQE, tr|A0A1X7T2J2|A0A1X7T2J2_AMPQE, tr|A0A1X7T359|A0A1X7T359_AMPQE, tr|A0A1X7T9Q2|A0A1X7T9Q2_AMPQE, tr|A0A1X7T9B7|A0A1X7T9B7_AMPQE, tr|A0A1X7U776|A0A1X7U776_AMPQE, tr|A0A1X7T9P5|A0A1X7T9P5_AMPQE, tr|A0A1X7VM76|A0A1X7VM76_AMPQE, tr|A0A1X7T2I9|A0A1X7T2I9_AMPQE, tr|A0A1X7TI74|A0A1X7TI74_AMPQE, tr|A0A1X7TIC2|A0A1X7TIC2_AMPQE, tr|A0A1X7TA19|A0A1X7TA19_AMPQE, tr|A0A1X7SRY1|A0A1X7SRY1_AMPQE, tr|A0A1X7V5C9|A0A1X7V5C9_AMPQE, tr|A0A1X7U802|A0A1X7U802_AMPQE, tr|A0A1X7U8K0|A0A1X7U8K0_AMPQE, tr|A0A1X7SEN5|A0A1X7SEN5_AMPQE, tr|A0A1X7U775|A0A1X7U775_AMPQE, tr|A0A1X7U8K5|A0A1X7U8K5_AMPQE, tr|A0A1X7TIH7|A0A1X7TIH7_AMPQE, tr|A0A1X7U8H1|A0A1X7U8H1_AMPQE, tr|A0A1X7TIY8|A0A1X7TIY8_AMPQE, tr|A0A1X7TI79|A0A1X7TI79_AMPQE, tr|A0A1X7T2S9|A0A1X7T2S9_AMPQE, tr|A0A1X7U7N2|A0A1X7U7N2_AMPQE, tr|A0A1X7UYD4|A0A1X7UYD4_AMPQE, tr|A0A1X7UXM1|A0A1X7UXM1_AMPQE, tr|A0A1X7UXV2|A0A1X7UXV2_AMPQE, tr|A0A1X7UXM4|A0A1X7UXM4_AMPQE, tr|A0A1X7UYT7|A0A1X7UYT7_AMPQE, tr|A0A1X7UXU7|A0A1X7UXU7_AMPQE, tr|A0A1X7VPB0|A0A1X7VPB0_AMPQE	sp|Q9BUZ4|TRAF4_HUMAN
OG0000033	tr|A0A1X7U5K3|A0A1X7U5K3_AMPQE, tr|A0A1X7T894|A0A1X7T894_AMPQE, tr|A0A1X7TUZ4|A0A1X7TUZ4_AMPQE, tr|A0A1X7TMU0|A0A1X7TMU0_AMPQE, tr|A0A1X7TJF4|A0A1X7TJF4_AMPQE, tr|A0A1X7T588|A0A1X7T588_AMPQE, tr|A0A1X7UVA5|A0A1X7UVA5_AMPQE, tr|A0A1X7UT63|A0A1X7UT63_AMPQE, tr|A0A1X7TVH1|A0A1X7TVH1_AMPQE, tr|A0A1X7TCZ5|A0A1X7TCZ5_AMPQE, tr|A0A1X7U0T5|A0A1X7U0T5_AMPQE, tr|A0A1X7V1E0|A0A1X7V1E0_AMPQE, tr|A0A1X7URL1|A0A1X7URL1_AMPQE, tr|A0A1X7SMY3|A0A1X7SMY3_AMPQE, tr|A0A1X7U5U6|A0A1X7U5U6_AMPQE, tr|A0A1X7TY68|A0A1X7TY68_AMPQE, tr|A0A1X7U8I8|A0A1X7U8I8_AMPQE, tr|A0A1X7US32|A0A1X7US32_AMPQE, tr|A0A1X7V645|A0A1X7V645_AMPQE, tr|A0A1X7UNW9|A0A1X7UNW9_AMPQE, tr|A0A1X7UR29|A0A1X7UR29_AMPQE, tr|A0A1X7V8Q9|A0A1X7V8Q9_AMPQE, tr|A0A1X7UW15|A0A1X7UW15_AMPQE, tr|A0A1X7U6W1|A0A1X7U6W1_AMPQE, tr|A0A1X7T4R5|A0A1X7T4R5_AMPQE	sp|A6NKG5|RTL1_HUMAN
OG0000058	tr|A0A1X7VNR2|A0A1X7VNR2_AMPQE, tr|A0A1X7UE39|A0A1X7UE39_AMPQE	sp|Q15738|NSDHL_HUMAN
OG0000071	tr|A0A1X7TR63|A0A1X7TR63_AMPQE, tr|A0A1X7T857|A0A1X7T857_AMPQE, tr|A0A1X7SEN8|A0A1X7SEN8_AMPQE, tr|A0A1X7SJC0|A0A1X7SJC0_AMPQE, tr|A0A1X7TS40|A0A1X7TS40_AMPQE, tr|A0A1X7TMV7|A0A1X7TMV7_AMPQE, tr|A0A1X7TGM6|A0A1X7TGM6_AMPQE, tr|A0A1X7SIN6|A0A1X7SIN6_AMPQE, tr|A0A1X7SXZ0|A0A1X7SXZ0_AMPQE, tr|A0A1X7UWF9|A0A1X7UWF9_AMPQE, tr|A0A1X7VRP1|A0A1X7VRP1_AMPQE, tr|A0A1X7TEE9|A0A1X7TEE9_AMPQE, tr|A0A1X7VUF5|A0A1X7VUF5_AMPQE, tr|A0A1X7TDH5|A0A1X7TDH5_AMPQE, tr|A0A1X7TE06|A0A1X7TE06_AMPQE, tr|A0A1X7TIM7|A0A1X7TIM7_AMPQE, tr|A0A1X7T8S7|A0A1X7T8S7_AMPQE, tr|A0A1X7U898|A0A1X7U898_AMPQE, tr|A0A1X7SJH6|A0A1X7SJH6_AMPQE, tr|A0A1X7UXB8|A0A1X7UXB8_AMPQE, tr|A0A1X7SH88|A0A1X7SH88_AMPQE, tr|A0A1X7T3R6|A0A1X7T3R6_AMPQE, tr|A0A1X7SRD0|A0A1X7SRD0_AMPQE, tr|A0A1X7T3G0|A0A1X7T3G0_AMPQE, tr|A0A1X7SQ47|A0A1X7SQ47_AMPQE, tr|A0A1X7UXB2|A0A1X7UXB2_AMPQE, tr|A0A1X7THR1|A0A1X7THR1_AMPQE, tr|A0A1X7TAB1|A0A1X7TAB1_AMPQE, tr|A0A1X7TCJ5|A0A1X7TCJ5_AMPQE, tr|A0A1X7U8E2|A0A1X7U8E2_AMPQE, tr|A0A1X7SG36|A0A1X7SG36_AMPQE, tr|A0A1X7SIT2|A0A1X7SIT2_AMPQE	sp|Q9H9A6|LRC40_HUMAN
OG0000080	tr|A0A1X7T342|A0A1X7T342_AMPQE, tr|A0A1X7UCZ8|A0A1X7UCZ8_AMPQE, tr|A0A1X7TKD1|A0A1X7TKD1_AMPQE, tr|A0A1X7TL96|A0A1X7TL96_AMPQE	sp|Q08830|FGL1_HUMAN
OG0000080	tr|A0A1X7UM27|A0A1X7UM27_AMPQE, tr|A0A1X7UM32|A0A1X7UM32_AMPQE, tr|A0A1X7T649|A0A1X7T649_AMPQE, tr|A0A1X7SR50|A0A1X7SR50_AMPQE, tr|A0A1X7U554|A0A1X7U554_AMPQE, tr|A0A1X7TU53|A0A1X7TU53_AMPQE	sp|P55083|MFAP4_HUMAN
OG0000080	tr|A0A1X7STG5|A0A1X7STG5_AMPQE, tr|A0A1X7SKS1|A0A1X7SKS1_AMPQE, tr|A0A1X7T456|A0A1X7T456_AMPQE, tr|A0A1X7TQB3|A0A1X7TQB3_AMPQE, tr|A0A1X7T3J1|A0A1X7T3J1_AMPQE, tr|A0A1X7U0N8|A0A1X7U0N8_AMPQE, tr|A0A1X7U0C2|A0A1X7U0C2_AMPQE, tr|A0A1X7TRL5|A0A1X7TRL5_AMPQE, tr|A0A1X7TS11|A0A1X7TS11_AMPQE, tr|A0A1X7U772|A0A1X7U772_AMPQE, tr|A0A1X7U6G7|A0A1X7U6G7_AMPQE, tr|A0A1X7T854|A0A1X7T854_AMPQE, tr|A0A1X7U6Q6|A0A1X7U6Q6_AMPQE, tr|A0A1X7UYQ5|A0A1X7UYQ5_AMPQE, tr|A0A1X7UXI6|A0A1X7UXI6_AMPQE, tr|A0A1X7TT50|A0A1X7TT50_AMPQE, tr|A0A1X7TTH3|A0A1X7TTH3_AMPQE, tr|A0A1X7STA5|A0A1X7STA5_AMPQE, tr|A0A1X7TF57|A0A1X7TF57_AMPQE, tr|A0A1X7TNT2|A0A1X7TNT2_AMPQE, tr|A0A1X7ULD6|A0A1X7ULD6_AMPQE, tr|A0A1X7TF91|A0A1X7TF91_AMPQE, tr|A0A1X7TEI7|A0A1X7TEI7_AMPQE, tr|A0A1X7UEI3|A0A1X7UEI3_AMPQE, tr|A0A1X7SPQ0|A0A1X7SPQ0_AMPQE, tr|A0A1X7TEL1|A0A1X7TEL1_AMPQE, tr|A0A1X7UD48|A0A1X7UD48_AMPQE, tr|A0A1X7SUQ3|A0A1X7SUQ3_AMPQE	sp|O00602|FCN1_HUMAN, sp|Q15485|FCN2_HUMAN
