Orthogroup	Niphates_augustus.hints.aa	Human_UP000005640_9606
OG0000003	jg5124.t1, jg1014.t1, jg25808.t1, jg18137.t1, jg12402.t1	sp|Q9H8W5|TRI45_HUMAN, sp|O75382|TRIM3_HUMAN, sp|Q9C040|TRIM2_HUMAN
OG0000003	jg10730.t1, jg21294.t1, g18521.t1, jg14264.t1, jg3790.t1, jg3819.t1, jg18326.t1, jg499.t1, jg500.t1, jg16250.t1, jg24730.t1, jg21183.t1, jg18562.t1, jg21261.t1, jg15380.t1, jg18491.t1, jg18490.t1, jg16508.t1	sp|O60858|TRI13_HUMAN, sp|Q8IWR1|TRI59_HUMAN
OG0000023	jg24330.t1, jg6257.t1, jg14707.t1, jg28137.t1, jg13757.t1, jg1011.t1, jg14710.t1, jg14709.t1, jg14708.t1, jg20333.t1, jg4763.t1, jg4764.t1, jg4765.t1, jg366.t1, jg22452.t1, jg24096.t1, jg1051.t1, jg2596.t1, jg1397.t1, jg3090.t1, jg11582.t1, jg11577.t1	sp|Q8N6U8|GP161_HUMAN, sp|Q96P66|GP101_HUMAN
OG0000031	jg6093.t1, jg6092.t1, jg8230.t1, jg8240.t1, jg6094.t1, jg8233.t1, jg25012.t1, jg8245.t1, jg8223.t1, jg6085.t1, jg7981.t1, jg7910.t1, jg1726.t1, jg26699.t1, jg28545.t1, jg8225.t1, jg6087.t1, jg8224.t1, jg6086.t1, jg8220.t1, jg6082.t1, jg8222.t1, jg6084.t1	sp|Q9BUZ4|TRAF4_HUMAN
OG0000033	jg5797.t1, jg29346.t1, jg22726.t1, jg2091.t1, jg29326.t1, jg21186.t1, jg5796.t1, jg9743.t1, jg5091.t1, jg5795.t1, jg26568.t1	sp|A6NKG5|RTL1_HUMAN
OG0000058	jg1194.t1, jg27468.t1, jg27543.t1, jg21449.t1, jg2253.t1, jg9906.t1, jg6295.t1, jg28911.t1, jg21413.t1, jg6286.t1, jg22608.t1, jg5846.t1, jg1646.t1, jg4428.t1, jg21399.t1, jg9910.t1, jg13252.t1, jg25496.t1, jg1646.t2, jg4428.t2, jg25496.t2, jg9910.t2, jg1194.t2, jg5846.t2, jg2250.t1, jg27365.t1, jg13245.t1, jg5842.t1, jg5201.t1, jg10343.t1, jg11847.t1, jg9889.t1, jg13105.t1, jg11855.t2, jg23470.t1, jg27497.t1, jg24148.t1, jg25503.t1, jg27522.t3, jg10348.t1, jg10027.t1, jg2136.t1, jg2252.t1, jg2252.t2, jg11823.t2, jg21418.t1, jg21405.t1, jg9902.t1, jg27522.t2, jg5852.t1, jg14534.t1, jg21511.t1, jg10017.t1, jg4423.t1, jg22605.t1, jg30325.t1, jg13109.t1, jg24468.t1, jg4304.t1, jg10354.t1, jg24152.t1, jg4434.t1, jg4278.t1, jg5005.t1, jg24082.t1, jg13241.t1, jg29250.t1, jg9935.t1, jg11823.t1	sp|Q15738|NSDHL_HUMAN
OG0000071	jg21281.t1, jg4883.t1, jg3207.t1, jg4875.t1, jg18570.t1, jg15396.t1, jg12078.t1, jg15387.t1, jg9324.t1, jg15616.t1, jg4866.t1, jg12082.t1, jg15321.t1, jg2994.t1, jg15325.t1, jg15319.t3, jg15319.t2, jg15398.t2, jg15319.t1, jg15398.t1, jg21228.t1, jg21228.t2, jg21228.t3, jg15606.t2, jg15606.t1, jg21225.t1, jg29284.t1, jg30410.t1	sp|Q9H9A6|LRC40_HUMAN
OG0000080	jg16814.t1	sp|Q08830|FGL1_HUMAN
OG0000080	jg28968.t1	sp|O00602|FCN1_HUMAN, sp|Q15485|FCN2_HUMAN
OG0000096	jg2578.t1, jg17887.t1, jg19660.t1, jg19660.t2, jg17543.t1, jg15042.t1, jg19659.t1, jg3257.t1, jg22758.t1, jg25758.t1	sp|Q06418|TYRO3_HUMAN, sp|P30530|UFO_HUMAN, sp|Q12866|MERTK_HUMAN
OG0000099	jg14313.t1, jg113.t1, jg24859.t1	sp|Q9H1U4|MEGF9_HUMAN
OG0000104	jg24250.t1, jg19995.t1, jg14808.t1, jg1565.t1, jg5135.t1, jg5120.t1, jg14810.t1, jg12430.t1, jg19839.t1, jg12442.t1, jg11851.t1	sp|Q9Y2U9|KLDC2_HUMAN
OG0000108	jg4371.t1, jg1489.t1, jg23582.t1, jg1496.t1, jg1491.t1, jg4372.t1, jg16272.t1, jg16276.t1, jg23925.t1, jg24003.t1, jg7404.t1, jg30368.t1, jg20235.t1, jg20234.t1, jg20233.t1, jg13402.t1, jg13401.t1, jg13400.t1, jg4379.t1	sp|O00338|ST1C2_HUMAN, sp|O75897|ST1C4_HUMAN, sp|O43704|ST1B1_HUMAN, sp|P49888|ST1E1_HUMAN, sp|P0DMN0|ST1A4_HUMAN, sp|P0DMM9|ST1A3_HUMAN, sp|P50225|ST1A1_HUMAN, sp|P50226|ST1A2_HUMAN, sp|Q6IMI6|ST1C3_HUMAN
OG0000109	jg30107.t1, jg15508.t1, jg16004.t1, jg14272.t1, jg7343.t1, jg22028.t1, jg25022.t1, jg13216.t1, jg21744.t1, jg7339.t1, jg1784.t1, jg16695.t1, jg21069.t1, jg5694.t1, jg24036.t1, jg7340.t1, jg26388.t1, jg18792.t1, jg15177.t1, jg26450.t1, jg7424.t1, jg7583.t1, jg5679.t1, jg10145.t1, jg28715.t1	tr|A0A1W2PQ72|A0A1W2PQ72_HUMAN
OG0000129	jg14919.t1, jg14924.t1, jg28860.t1, jg28857.t1, jg14921.t1, jg22677.t1, jg22675.t1, jg22674.t1	sp|P21941|MATN1_HUMAN, sp|O95460|MATN4_HUMAN, sp|O15232|MATN3_HUMAN, sp|O00339|MATN2_HUMAN, sp|Q96P44|COLA1_HUMAN
OG0000137	jg12856.t1, jg7007.t1, jg28808.t1, jg7001.t1, jg20691.t2, jg7003.t1, jg7006.t1, jg7005.t1, jg7004.t1	sp|Q5NE16|CATL3_HUMAN, sp|P07711|CATL1_HUMAN, sp|O60911|CATL2_HUMAN, sp|P43235|CATK_HUMAN
